Title,Episodes,ImdbRating,Year,Countries,OriginalLanguage,Overview
#blackAF,8,66,2020,['US'],en,A father takes an irreverent and honest approach to parenting and relationships.
(Un)Well,6,64,2020,['US'],en,"This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?"
My Unfamiliar Family,16,77,2020,['KR'],ko,"A family must deal with the unresolved emotions and misunderstandings that deeply affect their relationships with each other. From the mother that wants to graduate from her marriage, to the daughter who discovers her husband's well-hidden secret, the family must learn to rely on and communicate with each other."
100 Things to Do Before High School,25,62,2014,['US'],en,"With real life and teen drama awaiting her after 8th grade graduation, CJ Parker has only a short time left to make the most of her middle school years. Together with her two lifelong best friends Fenwick and Crispo, she is determined to get the most out of this time, using an ever-expanding list of challenges as a guide. For this group, growing up means trying everything and taking chances while they still can."
Million Yen Women,12,76,2017,['JP'],ja,"Five beautiful but mysterious women move in with unsuccessful novelist Shin, who manages their odd household in exchange for a tidy monthly sum."
13 Reasons Why,49,75,2017,['US'],en,"After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice."
13 Reasons Why: Beyond the Reasons,3,62,2017,['US'],en,"Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why."""
November 13: Attack on Paris,3,83,2018,['FR'],fr,"Survivors and first responders share personal stories of anguish, kindness and bravery that unfolded amid the Paris terror attacks of Nov. 13, 2015."
1983,8,67,2018,['PL'],pl,"Twenty years after a devastating terrorist attack in 1983 that halted the course of Poland's liberation and the subsequent downfall of the Soviet Union, an idealistic law student Kajetan and a disgraced police investigator Anatol stumble upon a conspiracy that has kept the Iron Curtain standing and Poland living under a repressive police state."
Back to 1989,34,80,2016,['TW'],zh,"A young successful young man has always felt something missing in his life because he never knew his father. At 26, Che Chen is already a successful assistant manager for an investment trust. But he was raised by his single mother Chen Mu and never knew the identity of his father, and that void has been nagging at him. But a freak accident sends Che back 27 years into the past, to the year before he was born. When he meets 22-year-old Zhen Zhen Ye, Che realizes that this naïve and trusting young woman is his mother's best friend! When Che realizes that anything he does in the year 1989 could alter his mother’s future, will he do anything to alter the course of his own life?"
1994,5,76,2019,['MX'],es,"Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio."
20 Minutes,25,71,2013,['TR'],tr,An innocent pastrycook Melek gets accused of injuring an important politician's son. Her loving husband Ali wants to help his wife to escape from prison.
2020,30,78,2021,['LB'],ar,"Seeking revenge, a woman goes to the village where her brother was killed, but her ride becomes bumpy when she finds herself falling in love."
Hei$t: The Great Robbery of Brazil's Central Bank,3,64,2022,['BR'],pt,"In August 2005, through a tunnel almost 80 meter long, thiefs invaded the bank vault of Brazil's Central Bank in Fortaleza and stole over 160 milions reais, ou or nealy 3,5 tons of cash. This documenty explores that spectacular and historic heist."
3%,33,73,2016,['BR'],pt,"In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor."
3Below: Tales of Arcadia,26,77,2018,['US'],en,"After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters."
42 Days of Darkness,6,65,2022,['CL'],es,"In a town in Chile, a woman leads a frantic search to find her missing sister amid a media storm and the police investigation. Inspired by a true case."
44 Cats,89,60,2018,['IT'],it,"The adventures of four kittens who make up the musical group called The Buffycats, with stories focusing on themes of friendship, altruism, tolerance and diversity."
45 RPM,13,72,2019,['ES'],es,The birth of a music label and three characters fighting for their dreams inside the complex inside the music industry.
